"Ship (don't notify Customer)","Ship (don't notify Customer)"
"(Re-)send shipment email (notify Customer)","(Re-)send shipment email (notify Customer)"
"Ship / Print (notify Customer)","Ship / Print (notify Customer)"
"Ship / Print (don't notify Customer)","Ship / Print (don't notify Customer)"
"Invoice / Ship (notify Customer)","Invoice / Ship (notify Customer)"
"Invoice / Ship (don't notify Customer)","Invoice / Ship (don't notify Customer)"
"Invoice / Ship / Print (notify Customer)","Invoice / Ship / Print (notify Customer)"
"Invoice / Ship / Print (don't notify Customer)","Invoice / Ship / Print (don't notify Customer)"
"Invoice / Ship / Complete (notify Customer)","Invoice / Ship / Complete (notify Customer)"
"Invoice / Ship / Complete (don't notify Customer)","Invoice / Ship / Complete (don't notify Customer)"
"Invoice / Ship / Complete / Print (notify Customer)","Invoice / Ship / Complete / Print (notify Customer)"
"Invoice / Ship / Complete / Print (don't notify Customer)","Invoice / Ship / Complete / Print (don't notify Customer)"
"Complete Order","Complete Order"
"Uncancel Order","Uncancel Order"
"Set Order Status to '%1'","Set Order Status to '%1'"
"Delete Order (canceled-only)","Delete Order (canceled-only)"
label,label
"Custom Value","Custom Value"
"Simplify Bulk Order Processing","Simplify Bulk Order Processing"
"Extension Configuration","Extension Configuration"
"General Configuration","General Configuration"
"Server Name","Server Name"
"License Key","License Key"
"Please enter your license key here.","Please enter your license key here."
"Module Enabled","Module Enabled"
"A valid license key is required in order to enable the module.","A valid license key is required in order to enable the module."
"Enabled Grid Actions","Enabled Grid Actions"
"Select multiple actions by holding down Shift or Ctrl while selecting actions.<br/>Delete order function: Please note that only canceled orders without invoices, shipments and creditmemos can be deleted.","Select multiple actions by holding down Shift or Ctrl while selecting actions.<br/>Delete order function: Please note that only canceled orders without invoices, shipments and creditmemos can be deleted."
"Capture payment for invoice","Capture payment for invoice"
"This will try to capture the payment at the payment gateway, i.e. charge the credit card if you authorized the payment.","This will try to capture the payment at the payment gateway, i.e. charge the credit card if you authorized the payment."
"Set invoice status to paid","Set invoice status to paid"
"Order Status Configuration","Order Status Configuration"
"Set custom order status after invoicing order","Set custom order status after invoicing order"
"A custom order status can be set for an order after running the Invoice action from the Sales > Order Grid. This overrides the ""Processing"" status which Magento would assign.","A custom order status can be set for an order after running the Invoice action from the Sales > Order Grid. This overrides the ""Processing"" status which Magento would assign."
"Set custom order status after shipping order","Set custom order status after shipping order"
"A custom order status can be set for an order after running the Ship action from the Sales > Order Grid. This overrides the ""Complete"" status which Magento would assign.","A custom order status can be set for an order after running the Ship action from the Sales > Order Grid. This overrides the ""Complete"" status which Magento would assign."
"Set custom order status after completing order","Set custom order status after completing order"
"A custom order status can be set for an order after running the Complete action from the Sales > Order Grid. This overrides the ""Complete"" status which Magento would assign.","A custom order status can be set for an order after running the Complete action from the Sales > Order Grid. This overrides the ""Complete"" status which Magento would assign."
"Grid Configuration","Grid Configuration"
"Ability to add tracking numbers to already shipped orders","Ability to add tracking numbers to already shipped orders"
"Show input fields to add tracking numbers from the Sales > Orders grid EVEN if the order has been already shipped.","Show input fields to add tracking numbers from the Sales > Orders grid EVEN if the order has been already shipped."
"Default tracking carrier","Default tracking carrier"
"Default carrier selected for adding tracking numbers from the Sales > Orders grid<br/><br/>Looking for a way to add custom carriers/tracking methods? Check out the <a href=""http://www.xtento.com/magento-extensions/magento-custom-generic-carrier-trackers-extension.html"" target=""_blank"">Custom Carrier Trackers</a> extension.","Default carrier selected for adding tracking numbers from the Sales > Orders grid<br/><br/>Looking for a way to add custom carriers/tracking methods? Check out the <a href=""http://www.xtento.com/magento-extensions/magento-custom-generic-carrier-trackers-extension.html"" target=""_blank"">Custom Carrier Trackers</a> extension."
"Carrier / Tracking","Carrier / Tracking"
