"File Settings","File Settings"
"<strong>Notice</strong>: Please make sure to visit our <a href=""http://support.xtento.com/wiki/Magento_2_Extensions:Tracking_Number_Import_Module"" target=""_blank"">support wiki</a> for an explanation on how to set up this processor.","<strong>Notice</strong>: Please make sure to visit our <a href=""http://support.xtento.com/wiki/Magento_2_Extensions:Tracking_Number_Import_Module"" target=""_blank"">support wiki</a> for an explanation on how to set up this processor."
"Skip header line","Skip header line"
"IMPORTANT: Set this to ""Yes"" if you want to skip the first line of each imported CSV file as it's the header line containing the column names.","IMPORTANT: Set this to ""Yes"" if you want to skip the first line of each imported CSV file as it's the header line containing the column names."
"Field Delimiter","Field Delimiter"
"REQUIRED: Set the field delimiter (one character only). Example field delimiter: ;<br/>Hint: If you want to use a tab delimited file enter: \t","REQUIRED: Set the field delimiter (one character only). Example field delimiter: ;<br/>Hint: If you want to use a tab delimited file enter: \t"
"Field Enclosure Character","Field Enclosure Character"
"Set the field enclosure character (<b>one</b> character only, if fields are wrapped in quotes for example). Example: ""","Set the field enclosure character (<b>one</b> character only, if fields are wrapped in quotes for example). Example: """
"Data XPath","Data XPath"
"Set the XPath for the node containing the order updates.<br/><br/>Example XML file:<br/>&lt;items&gt;<br/>&lt;item&gt;<br/>...<br/>&lt;/item&gt;<br/>&lt;item&gt;<br/>...<br/>&lt;/item&gt;<br/><br/>&lt;/items&gt;<br/>The order updates would be located in each ""item"" node, which are located in the ""items"" node, so the XPath would be: //items/item<br/><br/>Every ""item"" node located under the ""items"" node would be processed then.","Set the XPath for the node containing the order updates.<br/><br/>Example XML file:<br/>&lt;items&gt;<br/>&lt;item&gt;<br/>...<br/>&lt;/item&gt;<br/>&lt;item&gt;<br/>...<br/>&lt;/item&gt;<br/><br/>&lt;/items&gt;<br/>The order updates would be located in each ""item"" node, which are located in the ""items"" node, so the XPath would be: //items/item<br/><br/>Every ""item"" node located under the ""items"" node would be processed then."
"File Mapping","File Mapping"
"Wrong column name specified.","Wrong column name specified."
"No description available.","No description available."
"No help/description available.","No help/description available."
"The settings specified below will be applied to all manual and automatic imports.","The settings specified below will be applied to all manual and automatic imports."
"Import Settings","Import Settings"
"Order Identifier","Order Identifier"
"This is what is called the Order Identifier in the import settings and is what's used to identify the orders in the import file. Almost always you will want to use the Order Increment ID (Example: 100000001).","This is what is called the Order Identifier in the import settings and is what's used to identify the orders in the import file. Almost always you will want to use the Order Increment ID (Example: 100000001)."
"Product Identifier","Product Identifier"
"This is what is called the Product Identifier in the import settings and is what's used to identify the product in the import file. Almost always you will want to use the SKU.","This is what is called the Product Identifier in the import settings and is what's used to identify the product in the import file. Almost always you will want to use the SKU."
"Product Identifier: Attribute Code","Product Identifier: Attribute Code"
"IMPORTANT: This is not the attribute name. It is the attribute code you assigned to the attribute.","IMPORTANT: This is not the attribute name. It is the attribute code you assigned to the attribute."
"Process %1 only if...","Process %1 only if..."
Conditions,Conditions
"Settings & Filters","Settings & Filters"
"Import Profile","Import Profile"
"%1 Import Profile","%1 Import Profile"
Disabled,Disabled
"Add New Source","Add New Source"
"Save Source","Save Source"
"Delete Source","Delete Source"
"Source Settings","Source Settings"
"Assign a name to identify this source in logs/profiles.","Assign a name to identify this source in logs/profiles."
"Source Type","Source Type"
"--- Please Select ---","--- Please Select ---"
Status,Status
"Used in %1 profile(s)","Used in %1 profile(s)"
"Last Result Message","Last Result Message"
Configuration,Configuration
"Custom Type Configuration","Custom Type Configuration"
"Custom Class Identifier","Custom Class Identifier"
"You can set up an own class in our (or another) module which gets called when importing. The loadFiles() function would be called in your class. If your class was called \Xtento\TrackingImport\Model\Source\Myclass then the identifier to enter here would be \Xtento\TrackingImport\Model\Source\Myclass<br/><br/>The loadFiles() function needs to return an array like this: array(array('source_id' => $this->getSource()->getId(), 'filename' => $filename, 'data' => $fileContents))","You can set up an own class in our (or another) module which gets called when importing. The loadFiles() function would be called in your class. If your class was called \Xtento\TrackingImport\Model\Source\Myclass then the identifier to enter here would be \Xtento\TrackingImport\Model\Source\Myclass<br/><br/>The loadFiles() function needs to return an array like this: array(array('source_id' => $this->getSource()->getId(), 'filename' => $filename, 'data' => $fileContents))"
"FTP Configuration","FTP Configuration"
"SFTP Configuration","SFTP Configuration"
"<strong>Important</strong>: Only SFTPv3 servers are supported. Please make sure the server you're trying to connect to is a SFTPv3 server.","<strong>Important</strong>: Only SFTPv3 servers are supported. Please make sure the server you're trying to connect to is a SFTPv3 server."
"IP or Hostname","IP or Hostname"
"Server Type","Server Type"
"FTPS is only available if PHP has been compiled with OpenSSL support. Only some server versions are supported, support is limited by PHP.","FTPS is only available if PHP has been compiled with OpenSSL support. Only some server versions are supported, support is limited by PHP."
Port,Port
"Default Port: %1","Default Port: %1"
Username,Username
Password,Password
Timeout,Timeout
"Timeout in seconds after which the connection to the server fails","Timeout in seconds after which the connection to the server fails"
"Enable Passive Mode","Enable Passive Mode"
"If your server is behind a firewall, or if the extension has problems uploading the imported files, please set this to ""Yes"".","If your server is behind a firewall, or if the extension has problems uploading the imported files, please set this to ""Yes""."
"Import Directory","Import Directory"
"This is the absolute path to the directory on the server where files will be downloaded from. This directory has to exist on the FTP server.","This is the absolute path to the directory on the server where files will be downloaded from. This directory has to exist on the FTP server."
"Filename Pattern","Filename Pattern"
"This needs to be a valid regular expression. The regular expression will be used to detect import files. The import will fail if the pattern is invalid. Example: /csv/i for all files with the csv file extension or for all files in the import directory: //","This needs to be a valid regular expression. The regular expression will be used to detect import files. The import will fail if the pattern is invalid. Example: /csv/i for all files with the csv file extension or for all files in the import directory: //"
"Archive Directory","Archive Directory"
"If you want to move the imported file(s) to another directory after they have been processed, please enter the path here. This is the absolute path to the archive directory on the FTP server. This directory has to exist on the FTP server. Leave empty if you don't want to archive the import files.","If you want to move the imported file(s) to another directory after they have been processed, please enter the path here. This is the absolute path to the archive directory on the FTP server. This directory has to exist on the FTP server. Leave empty if you don't want to archive the import files."
"Delete imported files","Delete imported files"
"Set this to ""Yes"" if you want to delete the imported file from the FTP server after it has been processed. You can't delete and archive at the same time, so choose either this option or the archive option above.","Set this to ""Yes"" if you want to delete the imported file from the FTP server after it has been processed. You can't delete and archive at the same time, so choose either this option or the archive option above."
"This is no valid regular expression. It needs to begin and end with slashes: /sample/","This is no valid regular expression. It needs to begin and end with slashes: /sample/"
"HTTP Configuration","HTTP Configuration"
"<b>Instructions</b>: To import data to a HTTP server, please follow the following steps:<br>1) Go into the <i>app/code/Xtento/TrackingImport/Model/Source/</i> directory and rename the file ""Http.php.sample"" to ""Http.php""<br>2) Enter the function name you want to call in the Http.php class in the field below.<br>3) Open the Http.php file and add a function that matches the function name you entered. This function will be called by this source upon importing then.<br><br><b>Example:</b> If you enter server1 in the function name field below, a method called server1() must exist in the Http.php file. This way multiple HTTP servers can be added to the HTTP class, and can be called from different import source, separated by the function name that is called. The function you add then gets called whenever this source is executed by an import profile.","<b>Instructions</b>: To import data to a HTTP server, please follow the following steps:<br>1) Go into the <i>app/code/Xtento/TrackingImport/Model/Source/</i> directory and rename the file ""Http.php.sample"" to ""Http.php""<br>2) Enter the function name you want to call in the Http.php class in the field below.<br>3) Open the Http.php file and add a function that matches the function name you entered. This function will be called by this source upon importing then.<br><br><b>Example:</b> If you enter server1 in the function name field below, a method called server1() must exist in the Http.php file. This way multiple HTTP servers can be added to the HTTP class, and can be called from different import source, separated by the function name that is called. The function you add then gets called whenever this source is executed by an import profile."
"Custom Function","Custom Function"
"Please make sure the function you enter exists like this in the app/code/Xtento/TrackingImport/Model/Source/Http.php file:<br>public function <i>yourFunctionName</i>() { ... }","Please make sure the function you enter exists like this in the app/code/Xtento/TrackingImport/Model/Source/Http.php file:<br>public function <i>yourFunctionName</i>() { ... }"
"HTTP Download Configuration","HTTP Download Configuration"
"<b>Instructions</b>: This source is able to download files from a HTTP server. Please supply an URL in the following format: <b></b>http://www.url.com/file.csv</b> - It can be any url with any valid path/filename that exists on the remote webserver. To provide a username/password in the URL, please use: <b>http://username:password@www.url.com/file.csv</b>","<b>Instructions</b>: This source is able to download files from a HTTP server. Please supply an URL in the following format: <b></b>http://www.url.com/file.csv</b> - It can be any url with any valid path/filename that exists on the remote webserver. To provide a username/password in the URL, please use: <b>http://username:password@www.url.com/file.csv</b>"
URL,URL
"Local Directory Configuration","Local Directory Configuration"
"Path to the directory where import files will be searched in. Use an absolute path or specify a path relative to the Magento root directory by putting a dot at the beginning. Example to import from the var/import/ directory located in the root directory of Magento: ./var/import/  Example to import from an absolute directory: /var/www/test/ would import from the absolute path /var/www/test (and not located in the Magento installation)","Path to the directory where import files will be searched in. Use an absolute path or specify a path relative to the Magento root directory by putting a dot at the beginning. Example to import from the var/import/ directory located in the root directory of Magento: ./var/import/  Example to import from an absolute directory: /var/www/test/ would import from the absolute path /var/www/test (and not located in the Magento installation)"
"If you want to move the imported file(s) to another directory after they have been processed, please enter the path here. Use an absolute path or specify a path relative to the Magento root directory by putting a dot at the beginning. Example to move to the var/import/archive/ directory located in the root directory of Magento: ./var/import/archive/  Example to move to an absolute directory: /var/www/test/archive/ would move to the absolute path /var/www/test/archive/ (and not located in the Magento installation) This directory has to exist. Leave empty if you don't want to archive the import files.","If you want to move the imported file(s) to another directory after they have been processed, please enter the path here. Use an absolute path or specify a path relative to the Magento root directory by putting a dot at the beginning. Example to move to the var/import/archive/ directory located in the root directory of Magento: ./var/import/archive/  Example to move to an absolute directory: /var/www/test/archive/ would move to the absolute path /var/www/test/archive/ (and not located in the Magento installation) This directory has to exist. Leave empty if you don't want to archive the import files."
"Set this to ""Yes"" if you want to delete the imported file from the local directory after it has been processed. You can't delete and archive at the same time, so choose either this option or the archive option above.","Set this to ""Yes"" if you want to delete the imported file from the local directory after it has been processed. You can't delete and archive at the same time, so choose either this option or the archive option above."
"Webservice Configuration","Webservice Configuration"
"<b>Instructions</b>: To import data from a webservice, please follow the following steps:<br>1) Go into the <i>app/code/Xtento/TrackingImport/Model/Source/</i> directory and rename the file ""Webservice.php.sample"" to ""Webservice.php""<br>2) Enter the function name you want to call in the Webservice.php class in the field below.<br>3) Open the Webservice.php file and add a function that matches the function name you entered. This function will be called by this source upon importing then.<br><br><b>Example:</b> If you enter server1 in the function name field below, a method called server1() must exist in the Webservice.php file. This way multiple webservices can be added to the Webservice class, and can be called from different import source, separated by the function name that is called. The function you add then gets called whenever this source is executed by an import profile.<br/><br/><b>Important:</b> The custom function needs to return an array like this: array(array('source_id' => $this->getSource()->getId(), 'filename' => $filename, 'data' => $fileContents))","<b>Instructions</b>: To import data from a webservice, please follow the following steps:<br>1) Go into the <i>app/code/Xtento/TrackingImport/Model/Source/</i> directory and rename the file ""Webservice.php.sample"" to ""Webservice.php""<br>2) Enter the function name you want to call in the Webservice.php class in the field below.<br>3) Open the Webservice.php file and add a function that matches the function name you entered. This function will be called by this source upon importing then.<br><br><b>Example:</b> If you enter server1 in the function name field below, a method called server1() must exist in the Webservice.php file. This way multiple webservices can be added to the Webservice class, and can be called from different import source, separated by the function name that is called. The function you add then gets called whenever this source is executed by an import profile.<br/><br/><b>Important:</b> The custom function needs to return an array like this: array(array('source_id' => $this->getSource()->getId(), 'filename' => $filename, 'data' => $fileContents))"
"Please make sure the function you enter exists like this in the app/code/TrackingImport/Model/Source/Webservice.php file:<br>public function <i>yourFunctionName</i>() { ... }","Please make sure the function you enter exists like this in the app/code/TrackingImport/Model/Source/Webservice.php file:<br>public function <i>yourFunctionName</i>() { ... }"
"Import Source","Import Source"
"Import sources control where files are retrieved (downloaded) from. Set up local directory, FTP, SFTP, etc. sources and enable them in the import profiles ""Import Sources"" tab.","Import sources control where files are retrieved (downloaded) from. Set up local directory, FTP, SFTP, etc. sources and enable them in the import profiles ""Import Sources"" tab."
Webservice,Webservice
"HTTP Server (Custom)","HTTP Server (Custom)"
Yes,Yes
No,No
"Used in <strong>%1</strong> profile(s)","Used in <strong>%1</strong> profile(s)"
"Tracking Import Navigation","Tracking Import Navigation"
name,name
"Get Help","Get Help"
"<info>%1 profiles have been added, %2 profiles have been updated, %3 sources have been added, %4 sources have been updated.<info>","<info>%1 profiles have been added, %2 profiles have been updated, %3 sources have been added, %4 sources have been updated.<info>"
"Attention: The installed extension version is not compatible with the Enterprise Edition of Magento. The compatibility of the currently installed extension version has only been confirmed with the Community Edition of Magento. Please go to <a href=""https://www.xtento.com"" target=""_blank"">www.xtento.com</a> to purchase or download the Enterprise Edition of this extension in our store if you've already purchased it.","Attention: The installed extension version is not compatible with the Enterprise Edition of Magento. The compatibility of the currently installed extension version has only been confirmed with the Community Edition of Magento. Please go to <a href=""https://www.xtento.com"" target=""_blank"">www.xtento.com</a> to purchase or download the Enterprise Edition of this extension in our store if you've already purchased it."
"Cronjob status: Cron doesn't seem to be set up at all. Cron did not execute within the last 15 minutes. Please make sure to set up the cronjob as explained <a href=""http://support.xtento.com/wiki/Setting_up_the_Magento_cronjob_(Magento_2)"" target=""_blank"">here</a> and check the cron status 15 minutes after setting up the cronjob properly again.","Cronjob status: Cron doesn't seem to be set up at all. Cron did not execute within the last 15 minutes. Please make sure to set up the cronjob as explained <a href=""http://support.xtento.com/wiki/Setting_up_the_Magento_cronjob_(Magento_2)"" target=""_blank"">here</a> and check the cron status 15 minutes after setting up the cronjob properly again."
"Cronjob status: Cron doesn't seem to be set up properly. Cron did not execute within the last 15 minutes. Please make sure to set up the cronjob as explained <a href=""http://support.xtento.com/wiki/Setting_up_the_Magento_cronjob_(Magento_2)"" target=""_blank"">here</a> and check the cron status 15 minutes after setting up the cronjob properly again.","Cronjob status: Cron doesn't seem to be set up properly. Cron did not execute within the last 15 minutes. Please make sure to set up the cronjob as explained <a href=""http://support.xtento.com/wiki/Setting_up_the_Magento_cronjob_(Magento_2)"" target=""_blank"">here</a> and check the cron status 15 minutes after setting up the cronjob properly again."
Sales,Sales
"Tracking Import","Tracking Import"
"The extension is currently disabled. Please go to System > XTENTO Extensions > Tracking Import Configuration to enable it. After that access the module at Sales > Tracking Import again.","The extension is currently disabled. Please go to System > XTENTO Extensions > Tracking Import Configuration to enable it. After that access the module at Sales > Tracking Import again."
"The extension has not been installed properly. The required database tables have not been created yet. Please check out our <a href=""http://support.xtento.com/wiki/Troubleshooting:_Database_tables_have_not_been_initialized_(Magento_2)"" target=""_blank"">wiki</a> for instructions. After following these instructions access the module at Sales > Tracking Import again.","The extension has not been installed properly. The required database tables have not been created yet. Please check out our <a href=""http://support.xtento.com/wiki/Troubleshooting:_Database_tables_have_not_been_initialized_(Magento_2)"" target=""_blank"">wiki</a> for instructions. After following these instructions access the module at Sales > Tracking Import again."
"Execution Log","Execution Log"
"Tracking Import - Execution Log","Tracking Import - Execution Log"
"This log entry does not exist anymore.","This log entry does not exist anymore."
"Log entry has been deleted successfully.","Log entry has been deleted successfully."
"Please select log entries to delete.","Please select log entries to delete."
"Total of %1 log entries were successfully deleted.","Total of %1 log entries were successfully deleted."
"Manual Import","Manual Import"
"Tracking Import - Manual Import","Tracking Import - Manual Import"
"No profile selected or this profile does not exist anymore.","No profile selected or this profile does not exist anymore."
"There was an error processing this import.","There was an error processing this import."
"%1 of %2 records WOULD have been imported if this wasn't the test mode.","%1 of %2 records WOULD have been imported if this wasn't the test mode."
"%1 of %2 records have been imported in %3 seconds. If some records haven't been imported, they probably simply didn't change and didn't need to be updated.","%1 of %2 records have been imported in %3 seconds. If some records haven't been imported, they probably simply didn't change and didn't need to be updated."
"Error: %1","Error: %1"
%1,%1
"...\n\nThe debug messages are too long to be shown here. The full debug message log was saved in the ./var/log/%1 file.","...\n\nThe debug messages are too long to be shown here. The full debug message log was saved in the ./var/log/%1 file."
"Import Profiles","Import Profiles"
"Tracking Import - Profiles","Tracking Import - Profiles"
"This functionality has been disabled in the demo version of the module. Please contact us if you have questions regarding this functionality.","This functionality has been disabled in the demo version of the module. Please contact us if you have questions regarding this functionality."
"This profile does not exist anymore.","This profile does not exist anymore."
"Profile has been deleted successfully.","Profile has been deleted successfully."
"The profile has been duplicated. Please make sure to enable it.","The profile has been duplicated. Please make sure to enable it."
"This profile no longer exists.","This profile no longer exists."
"No import entity has been set for this profile.","No import entity has been set for this profile."
"Edit Import Profile '%1'","Edit Import Profile '%1'"
"New Profile","New Profile"
"Please select profiles to delete.","Please select profiles to delete."
"Total of %1 profile(s) were successfully deleted.","Total of %1 profile(s) were successfully deleted."
"Please select profiles to update.","Please select profiles to update."
"Total of %1 profile(s) were successfully updated.","Total of %1 profile(s) were successfully updated."
"Could not find any data to save in the POST request. POST request too long maybe?","Could not find any data to save in the POST request. POST request too long maybe?"
"An error occurred while saving this import profile: %1","An error occurred while saving this import profile: %1"
"The import profile has been saved.","The import profile has been saved."
"Import Sources","Import Sources"
"Tracking Import - Sources","Tracking Import - Sources"
"This source does not exist anymore.","This source does not exist anymore."
"Source has been deleted successfully.","Source has been deleted successfully."
"This source no longer exists.","This source no longer exists."
"Edit Source","Edit Source"
"New Source","New Source"
"Please select sources to delete.","Please select sources to delete."
"Total of %1 source(s) were successfully deleted.","Total of %1 source(s) were successfully deleted."
"The import source has been saved.","The import source has been saved."
"An error occurred while saving this import source: %1","An error occurred while saving this import source: %1"
Tools,Tools
"Tracking Import - Tools","Tracking Import - Tools"
"No profiles / sources to export specified.","No profiles / sources to export specified."
"No settings file has been uploaded.","No settings file has been uploaded."
"%1 profiles have been added, %2 profiles have been updated, %3 sources have been added, %4 sources have been updated.","%1 profiles have been added, %2 profiles have been updated, %3 sources have been added, %4 sources have been updated."
"No profile ID found in job_code.","No profile ID found in job_code."
"Profile ID %1 does not seem to exist anymore.","Profile ID %1 does not seem to exist anymore."
"Undefined Entity","Undefined Entity"
"Processor ""%1"" does not exist. Cannot load profile.","Processor ""%1"" does not exist. Cannot load profile."
"Import failed. Decoding of JSON import format failed.","Import failed. Decoding of JSON import format failed."
"Order Update","Order Update"
"CSV / TXT / Tab-Delimited / Fixed-Length","CSV / TXT / Tab-Delimited / Fixed-Length"
XML,XML
"Test Import","Test Import"
"Starting import...","Starting import..."
"Test mode enabled. No real data will be imported. This is a tool to preview the import.","Test mode enabled. No real data will be imported. This is a tool to preview the import."
"No profile to import specified.","No profile to import specified."
"Processing just the uploaded file.","Processing just the uploaded file."
"0 files have been retrieved from import sources.","0 files have been retrieved from import sources."
"%1 files have been retrieved from import sources.","%1 files have been retrieved from import sources."
"Using %1 processor to parse files.","Using %1 processor to parse files."
"%1 files have been parsed, however, they did not contain any valid updates. Make sure the import processors are set up properly. Try running a test import in the debug section.","%1 files have been parsed, however, they did not contain any valid updates. Make sure the import processors are set up properly. Try running a test import in the debug section."
"Files parsed: <pre>%1</pre>","Files parsed: <pre>%1</pre>"
"The following data has been parsed in the import file(s): %1","The following data has been parsed in the import file(s): %1"
"Trying to import the updates...","Trying to import the updates..."
"0 %1 updates have been imported.","0 %1 updates have been imported."
"Fatal Error: No import sources have been enabled for this profile. For manual/automatic imports to run, import sources must be defined where files will be downloaded from, OR a file must be uploaded manually.","Fatal Error: No import sources have been enabled for this profile. For manual/automatic imports to run, import sources must be defined where files will be downloaded from, OR a file must be uploaded manually."
"%1 import sources have been found.","%1 import sources have been found."
"Import started...","Import started..."
"Order '%1': Product SKU '%2', product does not exist anymore and cannot be matched for importing.","Order '%1': Product SKU '%2', product does not exist anymore and cannot be matched for importing."
"Order '%1': No method found to match products.","Order '%1': No method found to match products."
"Order '%1', no credit memo was created. Partial credit memo creation enabled, however the items specified in the import file couldn't be found in the order.","Order '%1', no credit memo was created. Partial credit memo creation enabled, however the items specified in the import file couldn't be found in the order."
"The credit memo's total must be positive.","The credit memo's total must be positive."
"Order '%1' has been refunded and the customer has been notified.","Order '%1' has been refunded and the customer has been notified."
"Order '%1' has been refunded and the customer has NOT been notified.","Order '%1' has been refunded and the customer has NOT been notified."
"Order '%1' has NOT been refunded. Order already refunded or order status not allowing credit memo creation.","Order '%1' has NOT been refunded. Order already refunded or order status not allowing credit memo creation."
"Order '%1': Order was unholded so it can be invoiced.","Order '%1': Order was unholded so it can be invoiced."
"Order '%1' has NOT been invoiced. Partial invoicing enabled, however the items specified in the import file couldn't be found in the order. (Could not find any qtys to invoice)","Order '%1' has NOT been invoiced. Partial invoicing enabled, however the items specified in the import file couldn't be found in the order. (Could not find any qtys to invoice)"
"Order '%1' has NOT been invoiced. Partial invoicing enabled, however the items specified in the import file couldn't be found in the order.","Order '%1' has NOT been invoiced. Partial invoicing enabled, however the items specified in the import file couldn't be found in the order."
"Order '%1' has been invoiced and the customer has been notified.","Order '%1' has been invoiced and the customer has been notified."
"Order '%1' has been invoiced and the customer has NOT been notified.","Order '%1' has been invoiced and the customer has NOT been notified."
"Order '%1' has NOT been invoiced. Order already invoiced or order status not allowing invoicing.","Order '%1' has NOT been invoiced. Order already invoiced or order status not allowing invoicing."
"Order '%1': Order was unholded so it can be shipped.","Order '%1': Order was unholded so it can be shipped."
"Order '%1': No tracking numbers to import found, not shipping order.","Order '%1': No tracking numbers to import found, not shipping order."
"Order '%1' has NOT been shipped. Partial shipping enabled, however the items specified in the import file couldn't be found in the order. (Could not find any qtys to ship)","Order '%1' has NOT been shipped. Partial shipping enabled, however the items specified in the import file couldn't be found in the order. (Could not find any qtys to ship)"
"Order '%1' has NOT been shipped. Partial shipping enabled, however the items specified in the import file couldn't be found in the order.","Order '%1' has NOT been shipped. Partial shipping enabled, however the items specified in the import file couldn't be found in the order."
"Order '%1' has been shipped and the customer has been notified.","Order '%1' has been shipped and the customer has been notified."
"Order '%1' has been shipped and the customer has NOT been notified.","Order '%1' has been shipped and the customer has NOT been notified."
"Order '%1' has NOT been shipped. Already shipped or order status not allowing shipping.","Order '%1' has NOT been shipped. Already shipped or order status not allowing shipping."
"Order '%1': Another tracking number was added for the last shipment (Multi-Tracking) and the customer has been notified.","Order '%1': Another tracking number was added for the last shipment (Multi-Tracking) and the customer has been notified."
"Order '%1': Another tracking number was added for the last shipment (Multi-Tracking) and the customer has NOT been notified.","Order '%1': Another tracking number was added for the last shipment (Multi-Tracking) and the customer has NOT been notified."
"Order '%1': Order has been cancelled.","Order '%1': Order has been cancelled."
"Order '%1': Order cannot be cancelled.","Order '%1': Order cannot be cancelled."
"Attempted to set order status '%1' for order '%2', however that is no status that exists in your Magento installation. Status not changed.","Attempted to set order status '%1' for order '%2', however that is no status that exists in your Magento installation. Status not changed."
"Order '%1': Status not updated, order comment added.","Order '%1': Status not updated, order comment added."
"Order '%1': Status updated to '%2'. (If the status is different from what you wanted to set, the order state is different already and your order status can't be set anymore)","Order '%1': Status updated to '%2'. (If the status is different from what you wanted to set, the order state is different already and your order status can't be set anymore)"
"Order '%1': Order update email dispatched.","Order '%1': Order update email dispatched."
"Billing Postcode","Billing Postcode"
"Billing Region","Billing Region"
"Billing State/Province","Billing State/Province"
"Billing Country","Billing Country"
"Shipping Postcode","Shipping Postcode"
"Shipping Region","Shipping Region"
"Shipping State/Province","Shipping State/Province"
"Shipping Country","Shipping Country"
"Product / Item attribute combination","Product / Item attribute combination"
"Products subselection","Products subselection"
"Conditions combination","Conditions combination"
"%1 Attributes","%1 Attributes"
"Misc. %1 Attributes","Misc. %1 Attributes"
"Payment Method","Payment Method"
"Shipping Method","Shipping Method"
"Empty (no value set)","Empty (no value set)"
"If an item is %1 with %2 of these conditions true:","If an item is %1 with %2 of these conditions true:"
"Please choose a condition to add.","Please choose a condition to add."
"Product Attribute","Product Attribute"
"Item Attribute","Item Attribute"
"total quantity ordered (for order imports)","total quantity ordered (for order imports)"
"total quantity invoiced (for order imports)","total quantity invoiced (for order imports)"
"total quantity refunded (for order imports)","total quantity refunded (for order imports)"
"total quantity (for invoice/shipment/credit memo imports)","total quantity (for invoice/shipment/credit memo imports)"
"total amount","total amount"
is,is
"is not","is not"
"equals or greater than","equals or greater than"
"equals or less than","equals or less than"
"greater than","greater than"
"less than","less than"
"is one of","is one of"
"is not one of","is not one of"
"If %1 %2 %3 for a subselection of items matching %4 of these conditions:","If %1 %2 %3 for a subselection of items matching %4 of these conditions:"
"Order '%1' could not be found in Magento. Skipping order.","Order '%1' could not be found in Magento. Skipping order."
"Order '%1' did not match import profile filters and will be skipped.","Order '%1' did not match import profile filters and will be skipped."
"Order '%1' (Row Identifier: %2) was found in Magento and would have been imported. (Test Mode)","Order '%1' (Row Identifier: %2) was found in Magento and would have been imported. (Test Mode)"
